matrix_size,obstacles,all_obstacle_coords,start_x,start_y,end_x,end_y
10,"[{'top_left': (3, 7), 'bottom_right': (5, 9)}, {'top_left': (6, 7), 'bottom_right': (8, 9)}]","[(3, 7), (3, 8), (3, 9), (4, 7), (4, 8), (4, 9), (5, 7), (5, 8), (5, 9), (6, 7), (6, 8), (6, 9), (7, 7), (7, 8), (7, 9), (8, 7), (8, 8), (8, 9)]",3,4,0,1
10,"[{'top_left': (3, 7), 'bottom_right': (5, 9)}, {'top_left': (6, 7), 'bottom_right': (8, 9)}]","[(3, 7), (3, 8), (3, 9), (4, 7), (4, 8), (4, 9), (5, 7), (5, 8), (5, 9), (6, 7), (6, 8), (6, 9), (7, 7), (7, 8), (7, 9), (8, 7), (8, 8), (8, 9)]",8,4,5,1
10,"[{'top_left': (0, 4), 'bottom_right': (2, 6)}, {'top_left': (2, 5), 'bottom_right': (4, 7)}]","[(0, 4), (0, 5), (0, 6), (1, 4), (1, 5), (1, 6), (2, 4), (2, 5), (2, 6), (2, 5), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7)]",3,4,8,5
10,"[{'top_left': (0, 4), 'bottom_right': (2, 6)}, {'top_left': (2, 5), 'bottom_right': (4, 7)}]","[(0, 4), (0, 5), (0, 6), (1, 4), (1, 5), (1, 6), (2, 4), (2, 5), (2, 6), (2, 5), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7)]",8,7,0,3
10,"[{'top_left': (0, 4), 'bottom_right': (2, 6)}, {'top_left': (2, 5), 'bottom_right': (4, 7)}]","[(0, 4), (0, 5), (0, 6), (1, 4), (1, 5), (1, 6), (2, 4), (2, 5), (2, 6), (2, 5), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7)]",8,2,7,2
10,"[{'top_left': (0, 4), 'bottom_right': (2, 6)}, {'top_left': (2, 5), 'bottom_right': (4, 7)}]","[(0, 4), (0, 5), (0, 6), (1, 4), (1, 5), (1, 6), (2, 4), (2, 5), (2, 6), (2, 5), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7)]",8,7,5,7
10,"[{'top_left': (0, 4), 'bottom_right': (2, 6)}, {'top_left': (2, 5), 'bottom_right': (4, 7)}]","[(0, 4), (0, 5), (0, 6), (1, 4), (1, 5), (1, 6), (2, 4), (2, 5), (2, 6), (2, 5), (2, 6), (2, 7), (3, 5), (3, 6), (3, 7), (4, 5), (4, 6), (4, 7)]",5,0,6,4
10,"[{'top_left': (4, 7), 'bottom_right': (6, 9)}, {'top_left': (2, 3), 'bottom_right': (4, 5)}]","[(4, 7), (4, 8), (4, 9), (5, 7), (5, 8), (5, 9), (6, 7), (6, 8), (6, 9), (2, 3), (2, 4), (2, 5), (3, 3), (3, 4), (3, 5), (4, 3), (4, 4), (4, 5)]",0,8,2,6
10,"[{'top_left': (4, 7), 'bottom_right': (6, 9)}, {'top_left': (2, 3), 'bottom_right': (4, 5)}]","[(4, 7), (4, 8), (4, 9), (5, 7), (5, 8), (5, 9), (6, 7), (6, 8), (6, 9), (2, 3), (2, 4), (2, 5), (3, 3), (3, 4), (3, 5), (4, 3), (4, 4), (4, 5)]",7,8,2,2
10,"[{'top_left': (4, 7), 'bottom_right': (6, 9)}, {'top_left': (2, 3), 'bottom_right': (4, 5)}]","[(4, 7), (4, 8), (4, 9), (5, 7), (5, 8), (5, 9), (6, 7), (6, 8), (6, 9), (2, 3), (2, 4), (2, 5), (3, 3), (3, 4), (3, 5), (4, 3), (4, 4), (4, 5)]",0,1,9,1
10,"[{'top_left': (4, 7), 'bottom_right': (6, 9)}, {'top_left': (2, 3), 'bottom_right': (4, 5)}]","[(4, 7), (4, 8), (4, 9), (5, 7), (5, 8), (5, 9), (6, 7), (6, 8), (6, 9), (2, 3), (2, 4), (2, 5), (3, 3), (3, 4), (3, 5), (4, 3), (4, 4), (4, 5)]",1,8,6,1
10,"[{'top_left': (4, 7), 'bottom_right': (6, 9)}, {'top_left': (2, 3), 'bottom_right': (4, 5)}]","[(4, 7), (4, 8), (4, 9), (5, 7), (5, 8), (5, 9), (6, 7), (6, 8), (6, 9), (2, 3), (2, 4), (2, 5), (3, 3), (3, 4), (3, 5), (4, 3), (4, 4), (4, 5)]",8,5,0,9
10,"[{'top_left': (4, 2), 'bottom_right': (6, 4)}, {'top_left': (7, 1), 'bottom_right': (9, 3)}]","[(4, 2), (4, 3), (4, 4), (5, 2), (5, 3), (5, 4), (6, 2), (6, 3), (6, 4), (7, 1), (7, 2), (7, 3), (8, 1), (8, 2), (8, 3), (9, 1), (9, 2), (9, 3)]",6,8,4,1
10,"[{'top_left': (4, 2), 'bottom_right': (6, 4)}, {'top_left': (7, 1), 'bottom_right': (9, 3)}]","[(4, 2), (4, 3), (4, 4), (5, 2), (5, 3), (5, 4), (6, 2), (6, 3), (6, 4), (7, 1), (7, 2), (7, 3), (8, 1), (8, 2), (8, 3), (9, 1), (9, 2), (9, 3)]",8,5,7,8
10,"[{'top_left': (4, 2), 'bottom_right': (6, 4)}, {'top_left': (7, 1), 'bottom_right': (9, 3)}]","[(4, 2), (4, 3), (4, 4), (5, 2), (5, 3), (5, 4), (6, 2), (6, 3), (6, 4), (7, 1), (7, 2), (7, 3), (8, 1), (8, 2), (8, 3), (9, 1), (9, 2), (9, 3)]",0,6,7,9
10,"[{'top_left': (4, 2), 'bottom_right': (6, 4)}, {'top_left': (7, 1), 'bottom_right': (9, 3)}]","[(4, 2), (4, 3), (4, 4), (5, 2), (5, 3), (5, 4), (6, 2), (6, 3), (6, 4), (7, 1), (7, 2), (7, 3), (8, 1), (8, 2), (8, 3), (9, 1), (9, 2), (9, 3)]",8,9,2,0
10,"[{'top_left': (4, 2), 'bottom_right': (6, 4)}, {'top_left': (7, 1), 'bottom_right': (9, 3)}]","[(4, 2), (4, 3), (4, 4), (5, 2), (5, 3), (5, 4), (6, 2), (6, 3), (6, 4), (7, 1), (7, 2), (7, 3), (8, 1), (8, 2), (8, 3), (9, 1), (9, 2), (9, 3)]",8,9,1,9
10,"[{'top_left': (5, 1), 'bottom_right': (7, 3)}, {'top_left': (2, 4), 'bottom_right': (4, 6)}]","[(5, 1), (5, 2), (5, 3), (6, 1), (6, 2), (6, 3), (7, 1), (7, 2), (7, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 4), (4, 5), (4, 6)]",0,2,4,1
10,"[{'top_left': (5, 1), 'bottom_right': (7, 3)}, {'top_left': (2, 4), 'bottom_right': (4, 6)}]","[(5, 1), (5, 2), (5, 3), (6, 1), (6, 2), (6, 3), (7, 1), (7, 2), (7, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 4), (4, 5), (4, 6)]",8,5,8,9
10,"[{'top_left': (5, 1), 'bottom_right': (7, 3)}, {'top_left': (2, 4), 'bottom_right': (4, 6)}]","[(5, 1), (5, 2), (5, 3), (6, 1), (6, 2), (6, 3), (7, 1), (7, 2), (7, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 4), (4, 5), (4, 6)]",3,1,5,7
10,"[{'top_left': (5, 1), 'bottom_right': (7, 3)}, {'top_left': (2, 4), 'bottom_right': (4, 6)}]","[(5, 1), (5, 2), (5, 3), (6, 1), (6, 2), (6, 3), (7, 1), (7, 2), (7, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 4), (4, 5), (4, 6)]",9,3,8,6
10,"[{'top_left': (5, 1), 'bottom_right': (7, 3)}, {'top_left': (2, 4), 'bottom_right': (4, 6)}]","[(5, 1), (5, 2), (5, 3), (6, 1), (6, 2), (6, 3), (7, 1), (7, 2), (7, 3), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (4, 4), (4, 5), (4, 6)]",7,0,0,3
10,"[{'top_left': (2, 0), 'bottom_right': (4, 2)}, {'top_left': (7, 0), 'bottom_right': (9, 2)}]","[(2, 0), (2, 1), (2, 2), (3, 0), (3, 1), (3, 2), (4, 0), (4, 1), (4, 2), (7, 0), (7, 1), (7, 2), (8, 0), (8, 1), (8, 2), (9, 0), (9, 1), (9, 2)]",8,6,8,5
10,"[{'top_left': (2, 0), 'bottom_right': (4, 2)}, {'top_left': (7, 0), 'bottom_right': (9, 2)}]","[(2, 0), (2, 1), (2, 2), (3, 0), (3, 1), (3, 2), (4, 0), (4, 1), (4, 2), (7, 0), (7, 1), (7, 2), (8, 0), (8, 1), (8, 2), (9, 0), (9, 1), (9, 2)]",5,9,4,8
10,"[{'top_left': (2, 0), 'bottom_right': (4, 2)}, {'top_left': (7, 0), 'bottom_right': (9, 2)}]","[(2, 0), (2, 1), (2, 2), (3, 0), (3, 1), (3, 2), (4, 0), (4, 1), (4, 2), (7, 0), (7, 1), (7, 2), (8, 0), (8, 1), (8, 2), (9, 0), (9, 1), (9, 2)]",3,6,1,7
10,"[{'top_left': (2, 0), 'bottom_right': (4, 2)}, {'top_left': (7, 0), 'bottom_right': (9, 2)}]","[(2, 0), (2, 1), (2, 2), (3, 0), (3, 1), (3, 2), (4, 0), (4, 1), (4, 2), (7, 0), (7, 1), (7, 2), (8, 0), (8, 1), (8, 2), (9, 0), (9, 1), (9, 2)]",4,3,8,4
10,"[{'top_left': (2, 0), 'bottom_right': (4, 2)}, {'top_left': (7, 0), 'bottom_right': (9, 2)}]","[(2, 0), (2, 1), (2, 2), (3, 0), (3, 1), (3, 2), (4, 0), (4, 1), (4, 2), (7, 0), (7, 1), (7, 2), (8, 0), (8, 1), (8, 2), (9, 0), (9, 1), (9, 2)]",6,5,5,7
10,"[{'top_left': (5, 3), 'bottom_right': (7, 5)}, {'top_left': (1, 6), 'bottom_right': (3, 8)}]","[(5, 3), (5, 4), (5, 5), (6, 3), (6, 4), (6, 5), (7, 3), (7, 4), (7, 5), (1, 6), (1, 7), (1, 8), (2, 6), (2, 7), (2, 8), (3, 6), (3, 7), (3, 8)]",3,2,0,6
10,"[{'top_left': (5, 3), 'bottom_right': (7, 5)}, {'top_left': (1, 6), 'bottom_right': (3, 8)}]","[(5, 3), (5, 4), (5, 5), (6, 3), (6, 4), (6, 5), (7, 3), (7, 4), (7, 5), (1, 6), (1, 7), (1, 8), (2, 6), (2, 7), (2, 8), (3, 6), (3, 7), (3, 8)]",1,3,0,3
10,"[{'top_left': (5, 3), 'bottom_right': (7, 5)}, {'top_left': (1, 6), 'bottom_right': (3, 8)}]","[(5, 3), (5, 4), (5, 5), (6, 3), (6, 4), (6, 5), (7, 3), (7, 4), (7, 5), (1, 6), (1, 7), (1, 8), (2, 6), (2, 7), (2, 8), (3, 6), (3, 7), (3, 8)]",8,7,5,2
10,"[{'top_left': (5, 3), 'bottom_right': (7, 5)}, {'top_left': (1, 6), 'bottom_right': (3, 8)}]","[(5, 3), (5, 4), (5, 5), (6, 3), (6, 4), (6, 5), (7, 3), (7, 4), (7, 5), (1, 6), (1, 7), (1, 8), (2, 6), (2, 7), (2, 8), (3, 6), (3, 7), (3, 8)]",5,0,4,7
10,"[{'top_left': (5, 3), 'bottom_right': (7, 5)}, {'top_left': (1, 6), 'bottom_right': (3, 8)}]","[(5, 3), (5, 4), (5, 5), (6, 3), (6, 4), (6, 5), (7, 3), (7, 4), (7, 5), (1, 6), (1, 7), (1, 8), (2, 6), (2, 7), (2, 8), (3, 6), (3, 7), (3, 8)]",7,7,5,8
10,"[{'top_left': (1, 3), 'bottom_right': (3, 5)}, {'top_left': (5, 4), 'bottom_right': (7, 6)}]","[(1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 3), (3, 4), (3, 5), (5, 4), (5, 5), (5, 6), (6, 4), (6, 5), (6, 6), (7, 4), (7, 5), (7, 6)]",7,0,7,2
10,"[{'top_left': (1, 3), 'bottom_right': (3, 5)}, {'top_left': (5, 4), 'bottom_right': (7, 6)}]","[(1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 3), (3, 4), (3, 5), (5, 4), (5, 5), (5, 6), (6, 4), (6, 5), (6, 6), (7, 4), (7, 5), (7, 6)]",0,6,2,8
10,"[{'top_left': (1, 3), 'bottom_right': (3, 5)}, {'top_left': (5, 4), 'bottom_right': (7, 6)}]","[(1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 3), (3, 4), (3, 5), (5, 4), (5, 5), (5, 6), (6, 4), (6, 5), (6, 6), (7, 4), (7, 5), (7, 6)]",0,8,3,1
10,"[{'top_left': (1, 3), 'bottom_right': (3, 5)}, {'top_left': (5, 4), 'bottom_right': (7, 6)}]","[(1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 3), (3, 4), (3, 5), (5, 4), (5, 5), (5, 6), (6, 4), (6, 5), (6, 6), (7, 4), (7, 5), (7, 6)]",5,3,3,7
10,"[{'top_left': (1, 3), 'bottom_right': (3, 5)}, {'top_left': (5, 4), 'bottom_right': (7, 6)}]","[(1, 3), (1, 4), (1, 5), (2, 3), (2, 4), (2, 5), (3, 3), (3, 4), (3, 5), (5, 4), (5, 5), (5, 6), (6, 4), (6, 5), (6, 6), (7, 4), (7, 5), (7, 6)]",9,3,9,1
10,"[{'top_left': (7, 5), 'bottom_right': (9, 7)}, {'top_left': (5, 5), 'bottom_right': (7, 7)}]","[(7, 5), (7, 6), (7, 7), (8, 5), (8, 6), (8, 7), (9, 5), (9, 6), (9, 7), (5, 5), (5, 6), (5, 7), (6, 5), (6, 6), (6, 7), (7, 5), (7, 6), (7, 7)]",5,3,8,4
10,"[{'top_left': (7, 5), 'bottom_right': (9, 7)}, {'top_left': (5, 5), 'bottom_right': (7, 7)}]","[(7, 5), (7, 6), (7, 7), (8, 5), (8, 6), (8, 7), (9, 5), (9, 6), (9, 7), (5, 5), (5, 6), (5, 7), (6, 5), (6, 6), (6, 7), (7, 5), (7, 6), (7, 7)]",2,0,5,2
10,"[{'top_left': (7, 5), 'bottom_right': (9, 7)}, {'top_left': (5, 5), 'bottom_right': (7, 7)}]","[(7, 5), (7, 6), (7, 7), (8, 5), (8, 6), (8, 7), (9, 5), (9, 6), (9, 7), (5, 5), (5, 6), (5, 7), (6, 5), (6, 6), (6, 7), (7, 5), (7, 6), (7, 7)]",7,4,3,5
10,"[{'top_left': (7, 5), 'bottom_right': (9, 7)}, {'top_left': (5, 5), 'bottom_right': (7, 7)}]","[(7, 5), (7, 6), (7, 7), (8, 5), (8, 6), (8, 7), (9, 5), (9, 6), (9, 7), (5, 5), (5, 6), (5, 7), (6, 5), (6, 6), (6, 7), (7, 5), (7, 6), (7, 7)]",2,9,2,2
10,"[{'top_left': (7, 5), 'bottom_right': (9, 7)}, {'top_left': (5, 5), 'bottom_right': (7, 7)}]","[(7, 5), (7, 6), (7, 7), (8, 5), (8, 6), (8, 7), (9, 5), (9, 6), (9, 7), (5, 5), (5, 6), (5, 7), (6, 5), (6, 6), (6, 7), (7, 5), (7, 6), (7, 7)]",0,7,8,8
10,"[{'top_left': (2, 1), 'bottom_right': (4, 3)}, {'top_left': (6, 5), 'bottom_right': (8, 7)}]","[(2, 1), (2, 2), (2, 3), (3, 1), (3, 2), (3, 3), (4, 1), (4, 2), (4, 3), (6, 5), (6, 6), (6, 7), (7, 5), (7, 6), (7, 7), (8, 5), (8, 6), (8, 7)]",0,0,5,2
10,"[{'top_left': (2, 1), 'bottom_right': (4, 3)}, {'top_left': (6, 5), 'bottom_right': (8, 7)}]","[(2, 1), (2, 2), (2, 3), (3, 1), (3, 2), (3, 3), (4, 1), (4, 2), (4, 3), (6, 5), (6, 6), (6, 7), (7, 5), (7, 6), (7, 7), (8, 5), (8, 6), (8, 7)]",6,3,3,4
10,"[{'top_left': (2, 1), 'bottom_right': (4, 3)}, {'top_left': (6, 5), 'bottom_right': (8, 7)}]","[(2, 1), (2, 2), (2, 3), (3, 1), (3, 2), (3, 3), (4, 1), (4, 2), (4, 3), (6, 5), (6, 6), (6, 7), (7, 5), (7, 6), (7, 7), (8, 5), (8, 6), (8, 7)]",9,6,7,0
10,"[{'top_left': (2, 1), 'bottom_right': (4, 3)}, {'top_left': (6, 5), 'bottom_right': (8, 7)}]","[(2, 1), (2, 2), (2, 3), (3, 1), (3, 2), (3, 3), (4, 1), (4, 2), (4, 3), (6, 5), (6, 6), (6, 7), (7, 5), (7, 6), (7, 7), (8, 5), (8, 6), (8, 7)]",7,2,7,9
10,"[{'top_left': (2, 1), 'bottom_right': (4, 3)}, {'top_left': (6, 5), 'bottom_right': (8, 7)}]","[(2, 1), (2, 2), (2, 3), (3, 1), (3, 2), (3, 3), (4, 1), (4, 2), (4, 3), (6, 5), (6, 6), (6, 7), (7, 5), (7, 6), (7, 7), (8, 5), (8, 6), (8, 7)]",8,0,0,5
10,"[{'top_left': (4, 2), 'bottom_right': (6, 4)}, {'top_left': (2, 3), 'bottom_right': (4, 5)}]","[(4, 2), (4, 3), (4, 4), (5, 2), (5, 3), (5, 4), (6, 2), (6, 3), (6, 4), (2, 3), (2, 4), (2, 5), (3, 3), (3, 4), (3, 5), (4, 3), (4, 4), (4, 5)]",9,4,6,6
10,"[{'top_left': (4, 2), 'bottom_right': (6, 4)}, {'top_left': (2, 3), 'bottom_right': (4, 5)}]","[(4, 2), (4, 3), (4, 4), (5, 2), (5, 3), (5, 4), (6, 2), (6, 3), (6, 4), (2, 3), (2, 4), (2, 5), (3, 3), (3, 4), (3, 5), (4, 3), (4, 4), (4, 5)]",9,9,1,2
10,"[{'top_left': (4, 2), 'bottom_right': (6, 4)}, {'top_left': (2, 3), 'bottom_right': (4, 5)}]","[(4, 2), (4, 3), (4, 4), (5, 2), (5, 3), (5, 4), (6, 2), (6, 3), (6, 4), (2, 3), (2, 4), (2, 5), (3, 3), (3, 4), (3, 5), (4, 3), (4, 4), (4, 5)]",0,9,3,1
10,"[{'top_left': (4, 2), 'bottom_right': (6, 4)}, {'top_left': (2, 3), 'bottom_right': (4, 5)}]","[(4, 2), (4, 3), (4, 4), (5, 2), (5, 3), (5, 4), (6, 2), (6, 3), (6, 4), (2, 3), (2, 4), (2, 5), (3, 3), (3, 4), (3, 5), (4, 3), (4, 4), (4, 5)]",8,6,0,7
10,"[{'top_left': (4, 2), 'bottom_right': (6, 4)}, {'top_left': (2, 3), 'bottom_right': (4, 5)}]","[(4, 2), (4, 3), (4, 4), (5, 2), (5, 3), (5, 4), (6, 2), (6, 3), (6, 4), (2, 3), (2, 4), (2, 5), (3, 3), (3, 4), (3, 5), (4, 3), (4, 4), (4, 5)]",0,7,3,6
10,"[{'top_left': (1, 4), 'bottom_right': (3, 6)}, {'top_left': (6, 5), 'bottom_right': (8, 7)}]","[(1, 4), (1, 5), (1, 6), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (6, 5), (6, 6), (6, 7), (7, 5), (7, 6), (7, 7), (8, 5), (8, 6), (8, 7)]",5,8,6,8
10,"[{'top_left': (1, 4), 'bottom_right': (3, 6)}, {'top_left': (6, 5), 'bottom_right': (8, 7)}]","[(1, 4), (1, 5), (1, 6), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (6, 5), (6, 6), (6, 7), (7, 5), (7, 6), (7, 7), (8, 5), (8, 6), (8, 7)]",3,7,1,7
10,"[{'top_left': (1, 4), 'bottom_right': (3, 6)}, {'top_left': (6, 5), 'bottom_right': (8, 7)}]","[(1, 4), (1, 5), (1, 6), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (6, 5), (6, 6), (6, 7), (7, 5), (7, 6), (7, 7), (8, 5), (8, 6), (8, 7)]",7,0,2,0
10,"[{'top_left': (1, 4), 'bottom_right': (3, 6)}, {'top_left': (6, 5), 'bottom_right': (8, 7)}]","[(1, 4), (1, 5), (1, 6), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (6, 5), (6, 6), (6, 7), (7, 5), (7, 6), (7, 7), (8, 5), (8, 6), (8, 7)]",9,6,9,1
10,"[{'top_left': (1, 4), 'bottom_right': (3, 6)}, {'top_left': (6, 5), 'bottom_right': (8, 7)}]","[(1, 4), (1, 5), (1, 6), (2, 4), (2, 5), (2, 6), (3, 4), (3, 5), (3, 6), (6, 5), (6, 6), (6, 7), (7, 5), (7, 6), (7, 7), (8, 5), (8, 6), (8, 7)]",3,8,1,0
10,"[{'top_left': (1, 7), 'bottom_right': (3, 9)}, {'top_left': (1, 6), 'bottom_right': (3, 8)}]","[(1, 7), (1, 8), (1, 9), (2, 7), (2, 8), (2, 9), (3, 7), (3, 8), (3, 9), (1, 6), (1, 7), (1, 8), (2, 6), (2, 7), (2, 8), (3, 6), (3, 7), (3, 8)]",0,8,2,0
10,"[{'top_left': (1, 7), 'bottom_right': (3, 9)}, {'top_left': (1, 6), 'bottom_right': (3, 8)}]","[(1, 7), (1, 8), (1, 9), (2, 7), (2, 8), (2, 9), (3, 7), (3, 8), (3, 9), (1, 6), (1, 7), (1, 8), (2, 6), (2, 7), (2, 8), (3, 6), (3, 7), (3, 8)]",7,3,5,8
10,"[{'top_left': (1, 7), 'bottom_right': (3, 9)}, {'top_left': (1, 6), 'bottom_right': (3, 8)}]","[(1, 7), (1, 8), (1, 9), (2, 7), (2, 8), (2, 9), (3, 7), (3, 8), (3, 9), (1, 6), (1, 7), (1, 8), (2, 6), (2, 7), (2, 8), (3, 6), (3, 7), (3, 8)]",0,5,9,8
10,"[{'top_left': (1, 7), 'bottom_right': (3, 9)}, {'top_left': (1, 6), 'bottom_right': (3, 8)}]","[(1, 7), (1, 8), (1, 9), (2, 7), (2, 8), (2, 9), (3, 7), (3, 8), (3, 9), (1, 6), (1, 7), (1, 8), (2, 6), (2, 7), (2, 8), (3, 6), (3, 7), (3, 8)]",9,9,7,1
10,"[{'top_left': (1, 7), 'bottom_right': (3, 9)}, {'top_left': (1, 6), 'bottom_right': (3, 8)}]","[(1, 7), (1, 8), (1, 9), (2, 7), (2, 8), (2, 9), (3, 7), (3, 8), (3, 9), (1, 6), (1, 7), (1, 8), (2, 6), (2, 7), (2, 8), (3, 6), (3, 7), (3, 8)]",0,7,8,9
10,"[{'top_left': (6, 1), 'bottom_right': (8, 3)}, {'top_left': (6, 2), 'bottom_right': (8, 4)}]","[(6, 1), (6, 2), (6, 3), (7, 1), (7, 2), (7, 3), (8, 1), (8, 2), (8, 3), (6, 2), (6, 3), (6, 4), (7, 2), (7, 3), (7, 4), (8, 2), (8, 3), (8, 4)]",0,4,0,8
10,"[{'top_left': (6, 1), 'bottom_right': (8, 3)}, {'top_left': (6, 2), 'bottom_right': (8, 4)}]","[(6, 1), (6, 2), (6, 3), (7, 1), (7, 2), (7, 3), (8, 1), (8, 2), (8, 3), (6, 2), (6, 3), (6, 4), (7, 2), (7, 3), (7, 4), (8, 2), (8, 3), (8, 4)]",4,9,6,7
